ID,bookTitle,bookAuthor,bookISBN,countryOfOrigin,language,publishedDate,publisher,pages,price($$),ratings,reviews
362,Nineteen Eighty Four,Jane Austen,473-58-55834-47-1,"Korea, North",Hungarian,"Wednesday, October 18, 1645",Telekom,187,68.86,2.66,Biography
363,One Thousand and One Nights,Robert Frost,073-34-47545-26-7,United Arab Emirates,Azerbaijani,"Saturday, July 22, 1071",Danone,524,96.97,2.91,Drama
364,The Scarlet Letter,Rachel Hollis,888-51-67511-25-4,Syria,Ukrainian,"Thursday, January 4, 8340",It Smart Group,471,77.53,3.96,History
365,Pride and Prejudice,John Steinbeck,774-72-06566-50-0,Montenegro,Persian,"Monday, January 2, 8164",Areon Impex,302,22.18,2.84,Crime
366, Oedipus at Colonus,Walt Whitman,325-66-77263-24-2,Fiji,Thai,"Sunday, April 26, 5801",AECOM,496,74.78,1.74,Adventure
367,Gargantua and Pantagruel,J. R. R. Tolkien,600-18-41308-22-4,Philippines,Assamese,"Sunday, December 14, 4290",Erickson,186,63.61,1.92,Action
368,Great Expectations,J. R. R. Tolkien,440-60-05620-46-7,"Sudan, South",Dutch,"Friday, October 31, 9270",It Smart Group,407,41.72,3.38,Comedy
369,Paradise Lost,John Steinbeck,302-31-47575-13-0,Haiti,Thai,"Sunday, April 23, 3651",Apple Inc.,207,71.53,4.51,Family
370,The Old Man and the Sea,Paulo Coelo,632-44-42271-53-7,Kiribati,Russian,"Friday, September 4, 9248",It Smart Group,269,41.03,2.01,Biography
371,The Grapes of Wrath,G.R.R. Martin,427-83-57426-85-1,Czech Republic,Sundanese,"Thursday, September 4, 4132",Vodafone,420,64.26,4.12,Fantasy
372,Invisible Man,Ray Bradbury,374-13-57425-81-0,Kosovo,Bhojpuri,"Tuesday, November 22, 0450",UPC,486,65.09,4.79,Musical
373,Game of Thrones,Jules Verne,007-46-40316-15-8,Malawi,Assamese,"Friday, July 15, 7070",Coca-Cola Company,550,29.01,3.94,Comedy
374,The Handmaid's Tale,Alexandre Dumas,753-54-84274-44-4,Montenegro,Serbo-Croatian,"Wednesday, May 7, 0656",Zepter,370,44.73,2.62,Crime
375,The Red and the Black,Guillaume Musso,014-17-25434-18-5,Saint Lucia,Azerbaijani,"Friday, February 17, 6615",Facebook,295,94.36,3.93,Horror
376,The Magic Mountain,Ray Bradbury,880-30-51582-52-5,Croatia,Swedish,"Wednesday, April 4, 7392",Telekom,365,15.62,4.60,Family
377,The Sun Also Rises,Jack London,782-00-15446-70-5,Mauritius,Turkish,"Friday, February 27, 5576",Amazon.com,272,65.25,2.75,Animation
378,The Red and the Black,Stephenie Meyer,207-70-17085-23-7,Saint Kitts and Nevis,Mandarin,"Sunday, March 7, 5571",Vodafone,328,16.98,2.15,Animation
379,The Sound and the Fury,Paulo Coelo,682-32-61480-84-4,Cameroon,Tamil,"Thursday, September 12, 3343",Comodo,339,72.55,3.63,Drama
380,One Thousand and One Nights,Paulo Coelo,036-42-52037-10-0,Portugal,Ukrainian,"Saturday, September 6, 7541",Mars,370,68.46,3.51,Thriller
381,Gargantua and Pantagruel,Danielle Steel,356-52-84423-27-3,Chad,Persian,"Thursday, April 26, 0627",Mars,197,81.46,1.90,Drama
382,Oedipus,Ray Bradbury,818-47-25714-70-2,Egypt,Korean,"Tuesday, December 8, 7491",Areon Impex,455,46.00,2.74,Adventure
383,Invisible Man,Tennessee Williams,156-52-05046-00-8,Maldives,Persian,"Tuesday, April 15, 0313",CarMax,304,73.94,4.29,Thriller
384,David Copperfield,Flannery O'Connor,146-72-85461-61-4,Burundi,Spanish,"Friday, February 9, 4457",Demaco,353,96.28,3.54,Fantasy
385,Emma,Cormac McCarthy,562-43-08001-60-4,Trinidad and Tobago,Spanish,"Thursday, February 6, 0144",CarMax,344,54.02,4.78,Crime
386, Oedipus at Colonus,Herman Melville,102-35-17881-73-4,Mauritius,Fula,"Thursday, September 4, 7292",Comodo,447,33.39,1.50,Biography
387,The Grapes of Wrath,Margaret Atwood,636-28-67883-32-4,Congo,Assamese,"Wednesday, September 23, 1215",Team Guard SRL,200,36.36,4.01,Adventure
388,In Search of Lost Time,Mary Shelley,507-31-62535-37-3,Trinidad and Tobago,Japanese,"Saturday, May 8, 1869",Metro Cash&Carry,233,34.72,2.79,Musical
389,Game of Thrones,Carlos Ruiz Zafon,882-81-83850-07-0,Rwanda,Swedish,"Friday, May 24, 9309",Telekom,374,25.19,1.54,Crime
390,Gargantua and Pantagruel,Ralph Waldo Emerson,235-35-75424-54-0,Cambodia,Ukrainian,"Sunday, September 28, 6098",Biolife Grup,405,80.79,1.09,Sci-Fi
391,Gulliver's Travels,Rachel Hollis,603-01-85146-21-8,Canada,Hungarian,"Thursday, August 28, 1879",Telekom,388,62.44,4.71,Romance
392,Gargantua and Pantagruel,Flannery O'Connor,542-17-66205-30-2,Papua New Guinea,Uzbek,"Wednesday, April 1, 0742",Metro Cash&Carry,244,63.93,4.83,Biography
393,The Magic Mountain,Margaret Atwood,542-81-04830-31-3,Angola,Uzbek,"Saturday, August 23, 4864",Carrefour,337,42.53,3.47,History
394,Wuthering Heights,Danielle Steel,533-54-56423-72-8,San Marino,Swedish,"Saturday, June 26, 2917",BuzzFeed,344,50.12,2.95,Romance
395,The Flowers of Evil,Agatha Christie,874-76-43867-67-5,Philippines,Mandarin,"Thursday, December 4, 3653",Team Guard SRL,442,31.70,4.41,Comedy
396,The Handmaid's Tale,Jin Yong,205-27-34480-44-8,Portugal,Sundanese,"Tuesday, April 7, 0195",ExxonMobil,274,77.61,4.09,Action
397,Gone With the Wind,Nathaniel Hawthorne,043-18-16613-01-1,Bolivia,Korean,"Sunday, February 22, 6742",CarMax,445,71.19,2.24,Musical
398,Tess of the d'Urbervilles,Stephen King,361-27-73353-56-8,Ethiopia,Hindi,"Tuesday, November 14, 4000",Demaco,280,94.31,2.29,Action
399,The Great Gatsby,F. Scott Fitzgerald,318-02-12417-23-2,Micronesia,Thai,"Friday, March 27, 2026",DynCorp,512,81.27,1.15,Biography
400,The Scarlet Letter,Emily Dickinson,468-26-88434-36-5,Armenia,German,"Thursday, January 3, 2605",It Smart Group,505,19.37,3.52,Family
401,Gone With the Wind,Leo Tolstoy,768-08-68378-52-1,Dominica,Hindi,"Tuesday, March 28, 5944",UPC,397,10.45,4.99,Crime
402,Paradise Lost,Mark Twain,327-43-35543-77-3,Ireland,Malaysian,"Friday, April 7, 7684",Vodafone,281,79.48,2.01,Crime
403,Pride and Prejudice,Guillaume Musso,200-70-50411-76-0,Oman,Russian,"Thursday, May 6, 8855",Mars,396,71.16,4.05,Sci-Fi
404, Oedipus at Colonus,Tennessee Williams,744-34-72328-66-7,Swaziland,Greek,"Thursday, September 2, 5576",Comodo,455,63.81,3.96,Family
405,The Magic Mountain,Tennessee Williams,807-55-36554-21-8,Costa Rica,Greek,"Sunday, June 18, 4845",Facebook,204,64.81,3.24,Adventure
406,The Red and the Black,Paulo Coelo,673-14-54210-13-1,Somalia,Persian,"Thursday, October 30, 6673",Carrefour,170,38.04,3.26,Action
407,In Search of Lost Time,Mark Twain,203-54-47700-62-1,Burundi,Amharic,"Monday, October 16, 5015",Danone,440,22.58,1.88,Musical
408,Moby Dick,F. Scott Fitzgerald,778-80-18064-85-0,Maldives,Tamil,"Friday, May 2, 0977",Telekom,567,58.30,3.08,Sci-Fi
409,Paradise Lost,John Steinbeck,416-53-48206-18-3,Congo,Yue,"Thursday, December 7, 7324",Leadertech Consulting,400,53.91,1.84,Action
410,To the Lighthouse,Jane Austen,427-64-74472-25-1,Iraq,Belarusian,"Friday, November 4, 6061",Zepter,459,61.14,1.42,Crime
411,In Search of Lost Time,William Faulkner,267-60-66774-44-6,"Korea, South",Serbo-Croatian,"Sunday, June 26, 2596",Global Print,348,36.35,4.31,Drama
412,Gone With the Wind,Horatio Alger,062-32-42144-54-4,Saint Kitts and Nevis,Polish,"Sunday, May 13, 1731",ENEL,434,89.55,1.74,Family
413,The Handmaid's Tale,Franz Kafka,384-21-76120-12-0,Peru,Polish,"Friday, February 17, 1195",21st Century Fox,390,25.24,3.74,Crime
414,Emma,Herman Melville,115-07-27402-26-4,Kazakhstan,Serbo-Croatian,"Friday, March 27, 4995",BuzzFeed,222,48.32,4.46,History
415,To the Lighthouse,Margaret Atwood,685-04-40030-36-8,San Marino,Sindhi,"Friday, July 8, 4304",CarMax,274,76.03,1.72,History
416,Game of Thrones,G.R.R. Martin,775-47-56162-18-5,Uganda,Sindhi,"Tuesday, September 4, 4407",BuzzFeed,310,89.23,2.61,Sci-Fi
417,The Red and the Black,Alexander Pushkin,742-13-21548-83-4,Mauritania,Swedish,"Saturday, October 15, 3166",Metro Cash&Carry,437,63.78,1.50,Romance
418,Great Expectations,Franz Kafka,528-36-62180-42-5,Russia,Uyghur,"Monday, September 18, 3550",Metro Cash&Carry,245,92.46,4.05,Comedy
419,Wuthering Heights,Edgar Allan Poe,625-28-20104-56-5,Tajikistan,Somali,"Friday, March 24, 8884",Vodafone,415,48.35,4.77,Fantasy
420,Ulysses,Kurt Vonnegut,703-23-04632-33-3,Belarus,Amharic,"Tuesday, October 10, 2451",Facebook,392,61.57,4.68,Romance
421,Paradise Lost,Doris Lessing,864-83-33813-35-0,Dominica,Dutch,"Sunday, June 29, 9473",Boeing,206,19.08,1.15,Crime
422,The Old Man and the Sea,Herman Melville,444-23-17673-80-3,Tuvalu,Assamese,"Sunday, October 18, 4499",Amazon.com,199,65.12,2.35,Musical
423,Lord of the Flies,C.S. Lewis,537-32-13670-28-7,Niger,Assamese,"Friday, March 18, 4439",Zepter,562,66.80,4.44,Romance
424,Don Quixote,Robert Frost,228-58-01445-71-8,Haiti,Tamil,"Sunday, April 10, 1983",Global Print,373,70.81,3.29,Comedy
425,To Kill a Mockingbird,Franz Kafka,578-00-43516-86-6,Dominica,Persian,"Monday, February 20, 8626",Leadertech Consulting,197,63.06,3.06,Musical
426,Robinson Crusoe,Henry James,422-32-18566-03-0,Monaco,Punjabi,"Saturday, December 30, 2226",BuzzFeed,468,95.74,4.79,Family
427,The Divine Comedy,Franz Kafka,728-11-61835-44-6,Mauritius,Uzbek,"Wednesday, September 16, 1198",Danone,413,85.92,3.26,Comedy
428,The Red and the Black,Emily Dickinson,435-82-87478-23-7,India,Japanese,"Thursday, August 24, 1471",UPC,478,66.65,2.81,Thriller
429,Wuthering Heights,Horatio Alger,228-57-53005-26-3,Uzbekistan,Somali,"Saturday, February 9, 3630",Leadertech Consulting,186,79.88,1.33,Sci-Fi
430,Lolita,Robert Frost,611-45-81485-51-5,Uzbekistan,Wu,"Sunday, September 9, 2491",Comodo,283,36.44,3.45,Thriller
431,The Red and the Black,Flannery O'Connor,362-38-43837-14-5,Togo,Arabic,"Friday, April 18, 4053",Erickson,429,67.39,4.33,Drama
432,The Metamorphosis,Ray Bradbury,630-70-50221-20-3,Australia,Hindi,"Monday, July 24, 9939",ENEL,533,13.25,2.84,Action
433,The Divine Comedy,Bella Forrest,330-28-82862-48-6,Maldives,Thai,"Thursday, October 14, 2630",ENEL,489,45.62,3.20,Romance
434,One Hundred Years of Solitude,Tennessee Williams,168-36-28810-13-8,"Congo, Republic of the",German,"Friday, November 24, 9662",ExxonMobil,546,99.31,1.61,Sci-Fi
435,The Brothers Karamazov ,Horatio Alger,720-64-57030-23-2,Chile,Thai,"Friday, March 22, 9461",Areon Impex,240,68.55,3.49,Drama
436,David Copperfield,Walt Whitman,487-23-80784-73-0,Saint Kitts and Nevis,Ukrainian,"Wednesday, January 20, 1244",Mars,529,42.35,4.98,Adventure
437,Gargantua and Pantagruel,Oscar Wilde,732-68-55328-02-0,Zimbabwe,Uyghur,"Wednesday, March 12, 1890",CarMax,179,48.41,1.19,Fantasy
438,Emma,Jack London,572-31-80520-43-5,Congo,Azerbaijani,"Monday, May 15, 3178",Telekom,329,24.24,4.09,Musical
439,The Old Man and the Sea,Mark Twain,805-83-46356-11-1,Lesotho,Uyghur,"Sunday, August 23, 6516",Mars,381,18.03,4.27,Animation
440,The Lord of The Rings,Carlos Ruiz Zafon,532-37-66244-01-4,Spain,Bhojpuri,"Tuesday, July 12, 4991",Carrefour,249,63.26,3.48,History
441,To Kill a Mockingbird,Guillaume Musso,856-67-27246-24-5,Japan,Wu,"Thursday, October 26, 1200",Comodo,343,57.86,3.17,Animation
442,The Magic Mountain,Carolyn Brown,167-47-72773-32-5,Slovakia,Russian,"Sunday, June 18, 3167",ENEL,351,22.12,2.15,Thriller
443,Vanity Fair,Cormac McCarthy,684-18-70686-56-4,Zimbabwe,Gan Chinese,"Tuesday, February 10, 1209",Coca-Cola Company,360,59.41,1.14,Musical
444,The Sun Also Rises,Alexander Pushkin,543-04-71771-27-2,"Korea, South",Pashto,"Sunday, January 18, 5429",Vodafone,503,99.56,1.39,History
445,The Brothers Karamazov ,Paulo Coelo,530-12-01334-26-1,Dominican Republic,Amharic,"Saturday, April 2, 5678",Team Guard SRL,221,88.80,2.84,Biography
446,The Canterbury Tales,Leo Tolstoy,806-07-82311-42-0,Palau,Wu,"Tuesday, January 18, 8952",Apple Inc.,437,99.61,4.67,Thriller
447,Game of Thrones,J. R. R. Tolkien,553-08-53271-71-1,Mali,Fula,"Thursday, December 16, 5097",Comodo,467,91.98,3.24,Musical
448,The Divine Comedy,Alexander Pushkin,483-07-57474-23-6,Ireland,Assamese,"Wednesday, March 20, 2475",ExxonMobil,404,18.67,1.66,Adventure
449,Invisible Man,Henry James,576-06-37776-35-0,"Congo, Republic of the",Chinese,"Tuesday, April 10, 6734",Areon Impex,486,75.09,2.65,Crime
450,To the Lighthouse,Ray Bradbury,223-75-18861-63-8,Colombia,Korean,"Tuesday, September 26, 7189",Mars,317,99.01,4.71,Adventure
451,Tess of the d'Urbervilles,Barbara Cartland,634-58-35425-07-8,Mexico,Punjabi,"Tuesday, May 3, 9487",Leadertech Consulting,276,43.87,1.36,Drama
452,Hamlet,Herman Melville,130-53-02260-45-5,Thailand,Arabic,"Sunday, December 9, 9083",Telekom,172,15.98,4.08,Biography
453,War and Peace,Doris Lessing,422-23-32843-48-3,Mexico,Uzbek,"Thursday, December 15, 9667",Apple Inc.,559,96.62,2.87,History
454,Lord of the Flies,Oscar Wilde,424-03-86461-11-5,Comoros,Fula,"Saturday, August 12, 0778",Global Print,524,11.28,3.33,Biography
455,Great Expectations,Edith Wharton,673-81-13183-44-0,Mexico,German,"Sunday, October 26, 2741",UPC,389,58.96,4.18,Fantasy
456,The Magic Mountain,Cormac McCarthy,076-05-16871-83-0,Italy,Uzbek,"Tuesday, December 15, 0398",It Smart Group,490,10.58,3.52,Horror
457,The Great Gatsby,Margaret Atwood,837-28-81164-77-8,United Kingdom,Malaysian,"Friday, June 13, 9298",Erickson,320,92.62,2.68,Crime
458,War and Peace,Danielle Steel,115-60-50336-40-0,Fiji,Gan Chinese,"Saturday, March 11, 9009",UPC,395,68.74,1.48,Drama
459,Ulysses,Franz Kafka,735-73-18471-73-2,Vietnam,Dutch,"Saturday, February 14, 0387",Apple Inc.,409,75.52,2.92,Romance
460,One Thousand and One Nights,Leo Tolstoy,332-37-05016-68-1,Brazil,Belarusian,"Monday, December 19, 7910",Leadertech Consulting,222,72.29,1.47,Sci-Fi
461,Great Expectations,William Faulkner,727-15-31473-52-3,Dominican Republic,Hindi,"Wednesday, December 29, 1717",Boeing,448,75.69,1.93,Horror
462,Tristram Shandy,Nathaniel Hawthorne,108-36-51874-26-5,Bangladesh,Persian,"Wednesday, August 25, 1762",Telekom,514,20.53,1.21,Action
463,Great Expectations,Jin Yong,562-68-32642-57-2,Swaziland,Urdu,"Sunday, May 31, 1091",Danone,490,56.00,4.75,Thriller
464,Tess of the d'Urbervilles,Alexander Pushkin,561-12-03014-72-2,Andorra,Bhojpuri,"Monday, September 18, 8620",Areon Impex,471,48.19,3.35,Family
465,Les Misérables,William Shakespeare,628-14-21714-51-4,Iraq,Azerbaijani,"Saturday, October 3, 4381",Biolife Grup,512,22.59,2.40,Horror
466,The Magic Mountain,Oscar Wilde,437-86-23856-68-8,"Congo, Republic of the",Swedish,"Wednesday, August 16, 9341",UPC,382,77.11,2.34,Drama
467,Moby Dick,Edith Wharton,656-50-02755-42-8,Sao Tome and Principe,Vietnamese,"Thursday, August 15, 9343",Coca-Cola Company,345,69.57,1.49,Thriller
468,The Metamorphosis,Alexandre Dumas,235-00-61881-78-5,Thailand,Spanish,"Wednesday, July 20, 2287",Leadertech Consulting,519,26.26,2.06,Family
469,Don Quixote,William Shakespeare,041-23-44283-11-7,Bulgaria,Punjabi,"Friday, June 30, 0254",AECOM,324,41.53,2.26,Crime
470,The Divine Comedy,Jack London,020-75-08405-40-3,Qatar,Gan Chinese,"Monday, June 26, 3122",Areon Impex,248,31.31,2.76,Animation
471,The Lord of The Rings,J. R. R. Tolkien,860-35-32533-56-0,Belize,Punjabi,"Tuesday, February 15, 4557",ENEL,185,29.40,4.36,Fantasy
472,The Divine Comedy,Stephenie Meyer,850-83-14251-38-6,Cameroon,Persian,"Thursday, September 18, 6121",Telekom,265,87.27,2.51,Family
473,Paradise Lost,Bella Forrest,308-54-36625-27-0,Japan,Hindi,"Friday, August 11, 9099",Comcast,287,80.18,2.05,Family
474,The Metamorphosis,Jack London,364-14-67427-33-8,Botswana,Arabic,"Tuesday, May 7, 1241",UPC,177,42.44,2.54,Family
475,One Thousand and One Nights,Edith Wharton,855-26-53411-23-7,United Kingdom,Turkish,"Thursday, February 23, 1561",It Smart Group,330,14.65,4.64,Crime
476, Oedipus at Colonus,Carolyn Brown,215-22-25511-52-6,United Arab Emirates,Uyghur,"Sunday, May 4, 5902",Zepter,443,35.63,1.81,Biography
477,Anna Karenina,Stephenie Meyer,855-54-31040-05-6,Malawi,Punjabi,"Wednesday, October 16, 5985",AECOM,204,15.17,2.49,History
478,Nineteen Eighty Four,Alexander Pushkin,444-80-75448-62-5,Thailand,Assamese,"Sunday, August 18, 7912",Biolife Grup,287,12.41,3.91,Animation
479,Gargantua and Pantagruel,Barbara Cartland,421-11-15041-48-3,Vanuatu,Wu,"Thursday, January 9, 8308",Team Guard SRL,549,44.22,2.31,Drama
480,Oedipus,Carlos Ruiz Zafon,070-30-60175-14-3,Saudi Arabia,Spanish,"Wednesday, January 16, 0419",DynCorp,525,61.29,4.80,Action
481,Invisible Man,John Steinbeck,067-44-08600-76-3,Syria,Russian,"Tuesday, August 30, 7932",BuzzFeed,217,26.88,1.46,Horror
482,Gone With the Wind,J. K. Rowling,425-37-81065-82-0,Belize,French,"Thursday, November 8, 5066",Areon Impex,382,54.80,2.78,Crime
483,Pride and Prejudice,Jules Verne,760-54-41734-74-7,Malta,Thai,"Friday, May 26, 3172",Demaco,260,43.88,4.48,Animation
484,Invisible Man,Alexander Pushkin,415-68-22853-65-2,Singapore,Sindhi,"Saturday, June 15, 8193",Leadertech Consulting,332,53.99,1.33,Sci-Fi
485,Paradise Lost,Carlos Ruiz Zafon,701-85-13171-45-6,Singapore,Turkish,"Thursday, October 24, 0385",Danone,287,15.26,3.52,History
486,The Metamorphosis,Horatio Alger,233-55-61527-01-6,Ethiopia,Punjabi,"Sunday, August 3, 4859",Global Print,499,95.34,1.15,Comedy
487,The Canterbury Tales,Alexandre Dumas,753-15-38378-88-8,Egypt,Portuguese,"Monday, December 10, 0908",Metro Cash&Carry,195,79.15,4.56,Biography
488,Alice Adventures in Wonderland,Jane Austen,013-05-36637-42-7,Uruguay,Swedish,"Sunday, November 12, 4484",Mars,240,32.08,1.14,Thriller
489,Oedipus,William Faulkner,335-22-62547-35-3,Seychelles,Italian,"Wednesday, October 12, 2163",ENEL,204,73.39,3.99,History
490,The Old Man and the Sea,Stephenie Meyer,138-75-62822-81-2,Egypt,Serbo-Croatian,"Friday, April 8, 7064",Danone,384,87.48,1.19,Family
491,The Brothers Karamazov ,J. R. R. Tolkien,082-85-44184-85-6,Greece,French,"Sunday, May 12, 2768",CarMax,489,71.19,2.02,Fantasy
492,Nineteen Eighty Four,Edgar Allan Poe,886-36-58300-57-5,Nauru,Portuguese,"Monday, March 25, 0239",ExxonMobil,535,27.92,4.11,Fantasy
493,The Red and the Black,Ralph Waldo Emerson,607-51-12075-81-7,South Africa,Spanish,"Tuesday, May 7, 0272",Carrefour,535,24.52,2.65,Comedy
494,Wuthering Heights,J. R. R. Tolkien,872-66-55018-63-4,Mexico,German,"Thursday, April 20, 1933",Erickson,540,90.03,4.60,Musical
495,Tristram Shandy,Leo Tolstoy,458-57-50821-42-8,Honduras,Yue,"Thursday, June 13, 8391",Team Guard SRL,548,39.52,2.56,Adventure
496,Gargantua and Pantagruel,Jack London,741-71-04580-48-6,Honduras,Serbo-Croatian,"Friday, July 5, 5844",Telekom,198,26.19,3.23,Family
497,The Metamorphosis,Margaret Atwood,040-77-81705-17-6,Chile,Czech,"Tuesday, January 21, 5479",Facebook,333,94.77,4.66,Crime
498,Hamlet,Tennessee Williams,245-74-35485-06-1,Micronesia,Sundanese,"Tuesday, August 15, 0845",BuzzFeed,303,68.18,3.74,Horror
499,The Flowers of Evil,Jin Yong,611-68-44482-33-5,Bhutan,Sundanese,"Monday, September 19, 7842",Global Print,328,71.35,1.21,Romance
500,Nineteen Eighty Four,Tennessee Williams,301-45-46743-76-5,El Salvador,Thai,"Monday, November 18, 2480",CarMax,204,45.91,4.40,Sci-Fi
501,Oedipus,William Faulkner,704-71-71817-71-5,Belarus,Gan Chinese,"Monday, April 1, 1968",Comcast,405,18.14,3.89,History
502,Gone With the Wind,Horatio Alger,111-16-68480-46-7,Azerbaijan,Thai,"Saturday, April 25, 1643",Erickson,199,74.95,3.78,History
503,One Thousand and One Nights,Bella Forrest,777-72-16865-48-7,Saint Lucia,Chittagonian,"Thursday, December 26, 9743",Comcast,171,97.96,4.99,Family
504,Tess of the d'Urbervilles,J. K. Rowling,253-32-15116-45-4,Switzerland,Fula,"Friday, November 15, 1118",Vodafone,353,97.23,4.81,Crime
505,The Flowers of Evil,Robert Frost,707-03-26120-55-2,Egypt,Hindi,"Saturday, February 10, 6277",BuzzFeed,393,86.18,3.72,Animation
506,The Grapes of Wrath,Edgar Allan Poe,345-14-63073-22-3,Guyana,Vietnamese,"Monday, January 24, 5650",Apple Inc.,224,63.37,4.18,Horror
507,Wuthering Heights,Carolyn Brown,823-61-47644-15-6,Peru,Polish,"Sunday, July 23, 0997",Erickson,559,65.76,4.73,Animation
508,The Old Man and the Sea,Bella Forrest,158-53-31505-08-3,Guinea-Bissau,Sindhi,"Saturday, May 9, 2865",Apple Inc.,505,34.30,3.38,Adventure
509,The Grapes of Wrath,Jane Austen,448-53-04745-23-5,Andorra,Sindhi,"Friday, April 18, 9845",DynCorp,389,53.09,2.05,Thriller
510,The Red and the Black,Robert Frost,331-33-80464-43-5,Italy,Japanese,"Monday, March 21, 1481",Telekom,248,38.01,4.12,Romance
511,Lolita,William Faulkner,354-51-54038-06-1,Israel,Gan Chinese,"Tuesday, July 11, 0484",Erickson,444,94.24,4.00,Family
512,David Copperfield,Danielle Steel,331-11-00088-18-6,Mexico,Portuguese,"Monday, August 25, 2330",Biolife Grup,175,96.76,3.99,Sci-Fi
513,Great Expectations,Emily Dickinson,255-88-45868-40-4,Albania,Russian,"Sunday, February 21, 1030",Areon Impex,240,10.70,4.70,Crime
514,Hamlet,Carlos Ruiz Zafon,551-65-56232-02-0,Samoa,Sundanese,"Wednesday, April 5, 2473",DynCorp,531,68.25,4.82,History
515,Les Misérables,Doris Lessing,851-73-12066-48-3,Nauru,Portuguese,"Wednesday, June 11, 0352",Comcast,352,51.46,2.96,Family
516,Gone With the Wind,Carolyn Brown,338-22-43601-78-4,Comoros,Hakka,"Tuesday, July 28, 7311",Team Guard SRL,523,29.56,3.52,Horror
517,Tess of the d'Urbervilles,Emily Dickinson,188-25-36271-68-3,Djibouti,French,"Monday, March 4, 0497",Areon Impex,542,75.28,4.81,History
518,The Old Man and the Sea,Oscar Wilde,736-25-74125-21-7,Saint Kitts and Nevis,Serbo-Croatian,"Sunday, June 22, 7828",DynCorp,280,55.08,3.00,Horror
519,The Good Soldier,Carlos Ruiz Zafon,513-22-44343-34-5,Niger,Yue,"Tuesday, June 3, 8223",Zepter,496,55.31,2.58,Biography
520,Tess of the d'Urbervilles,Mark Twain,312-62-04110-82-6,Eritrea,Amharic,"Friday, August 19, 1031",UPC,449,32.84,1.78,Musical
521,War and Peace,Oscar Wilde,705-85-10206-24-2,Portugal,Ukrainian,"Tuesday, October 10, 6733",Erickson,241,28.31,2.06,History
522,War and Peace,John Steinbeck,318-33-32138-55-4,Cuba,Russian,"Tuesday, August 18, 3750",Coca-Cola Company,421,25.28,4.87,History
523,The Brothers Karamazov ,Dr. Seuss,637-24-88877-08-3,Dominican Republic,Gan Chinese,"Tuesday, December 24, 9512",Danone,234,94.23,2.20,Animation
524,One Thousand and One Nights,Walt Whitman,785-03-63803-14-1,Bosnia and Herzegovina,Greek,"Thursday, December 1, 2788",It Smart Group,512,39.78,3.50,Musical
525,One Thousand and One Nights,C.S. Lewis,140-74-60710-56-0,Jamaica,Czech,"Tuesday, June 12, 7708",Comodo,308,95.74,4.01,Biography
526,Les Misérables,Emily Dickinson,105-42-57532-03-0,Malaysia,Sindhi,"Friday, July 20, 5731",Leadertech Consulting,358,11.34,1.85,History
527,Tristram Shandy,Paulo Coelo,707-13-56140-43-4,"Korea, South",Fula,"Sunday, July 11, 8545",Demaco,521,24.34,1.19,Thriller
528,Hamlet,Oscar Wilde,636-71-57247-83-0,Paraguay,Assamese,"Tuesday, February 8, 5555",Team Guard SRL,406,53.94,1.34,Musical
529,Les Misérables,Dr. Seuss,668-55-44035-27-4,Saint Vincent and the Grenadines,Somali,"Sunday, May 23, 3655",CarMax,188,80.63,3.72,Musical
530,Gone With the Wind,Herman Melville,434-22-14683-75-4,Cuba,Yoruba,"Wednesday, February 17, 8393",ENEL,222,61.60,3.36,History
531,The Good Soldier,Franz Kafka,148-68-25818-43-5,South Africa,Malaysian,"Friday, December 5, 2960",CarMax,423,80.05,2.17,Crime
532,Game of Thrones,Jules Verne,778-85-55431-52-3,Cabo Verde,Chinese,"Friday, March 24, 5499",Leadertech Consulting,219,37.90,2.83,Action
533,Les Misérables,Doris Lessing,334-71-61284-60-8,Bahrain,Vietnamese,"Thursday, March 23, 6473",ENEL,195,54.78,4.29,Action
534,The Flowers of Evil,Flannery O'Connor,841-02-20057-06-0,Trinidad and Tobago,Hungarian,"Friday, November 26, 1886",Danone,343,32.15,3.01,Musical
535,The Magic Mountain,Mary Shelley,564-58-53336-75-8,Grenada,Belarusian,"Thursday, October 19, 4862",Telekom,520,63.29,3.96,Animation
536,The Old Man and the Sea,Henry James,358-30-03824-63-0,Morocco,Yue,"Tuesday, June 19, 7894",Demaco,256,69.37,1.43,Animation
537,The Great Gatsby,William Faulkner,305-34-60773-57-4,Singapore,Romanian,"Saturday, April 20, 6554",Telekom,481,54.54,4.49,Comedy
538,Tristram Shandy,Nathaniel Hawthorne,278-30-24283-82-1,Sri Lanka,Nepali,"Wednesday, August 14, 5478",Danone,345,74.95,2.98,History
539,The Magic Mountain,Barbara Cartland,457-82-24841-71-5,Somalia,Polish,"Sunday, November 5, 8339",Mars,364,99.61,1.41,Biography
540,Emma,Stephen King,844-50-56248-88-4,Saudi Arabia,Sindhi,"Saturday, January 27, 2463",ENEL,555,20.35,3.94,Comedy
541,To the Lighthouse,Emily Dickinson,055-88-00861-08-2,Vanuatu,Somali,"Tuesday, April 6, 1480",Metro Cash&Carry,536,43.79,2.83,Musical
542,In Search of Lost Time,C.S. Lewis,176-41-22738-83-0,Micronesia,Tamil,"Wednesday, January 9, 2605",AECOM,474,27.18,2.24,Adventure
